experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1,n_features
XGB_vibration_speed,18,0.7018445322793149,0.9782608695652174,0.4,0.7272727272727273,617
XGB_vibration_speed,19,0.7430555555555555,0.9791666666666666,0.5,0.75,617
XGB_vibration_speed,20,0.8816425120772946,0.9782608695652174,0.6666666666666666,1.0,617
XGB_vibration_speed,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,617
XGB_vibration_speed,22,0.818840579710145,0.9565217391304348,0.6666666666666666,0.8333333333333334,617
XGB_vibration_speed,23,0.9097222222222222,0.9791666666666666,1.0,0.75,617
XGB_vibration_speed,24,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,617
XGB_vibration_speed,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,617
XGB_top75,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,75
XGB_top75,2,0.6631578947368421,0.9894736842105263,0.3333333333333333,0.6666666666666666,75
XGB_top75,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,75
XGB_top75,4,0.8263888888888888,0.9791666666666666,0.5,1.0,75
XGB_top75,5,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888,75
XGB_top75,6,0.7357224676812306,0.9690721649484536,0.6666666666666666,0.5714285714285714,75
XGB_top75,7,0.7336917562724015,0.967741935483871,0.4,0.8333333333333334,75
XGB_top75,8,0.5773169482846902,0.946236559139785,0.2857142857142857,0.5,75
XGB_top75,9,0.7430555555555555,0.9791666666666666,0.5,0.75,75
XGB_top75,10,0.8816425120772946,0.9782608695652174,0.6666666666666666,1.0,75
XGB_top75,11,0.7114695340501792,0.967741935483871,0.5,0.6666666666666666,75
XGB_top75,12,0.7894736842105262,0.968421052631579,0.4,1.0,75
XGB_top75,13,0.6328548644338118,0.9894736842105263,0.0,0.9090909090909091,75
XGB_top75,14,0.8307435254803676,0.968421052631579,0.6666666666666666,0.8571428571428571,75
XGB_top75,15,0.959378733572282,0.989247311827957,1.0,0.8888888888888888,75
XGB_top75,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,75
XGB_top75,17,0.6160241874527589,0.9591836734693877,0.0,0.8888888888888888,75
XGB_top75,18,0.8149758454106281,0.9782608695652174,0.6666666666666666,0.8,75
XGB_top75,19,0.7430555555555555,0.9791666666666666,0.5,0.75,75
XGB_top75,20,0.8816425120772946,0.9782608695652174,0.6666666666666666,1.0,75
XGB_top75,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,75
XGB_top75,22,0.818840579710145,0.9565217391304348,0.6666666666666666,0.8333333333333334,75
XGB_top75,23,0.9594541910331383,0.9894736842105263,1.0,0.8888888888888888,75
XGB_top75,24,1.0,1.0,1.0,1.0,75
