experiment,filename,true_label,times_tested,times_correct,accuracy
Exp2_XGB_sample_weighted,Train119.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train12.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train120.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train121.csv,Side I,3,1,0.3333333333333333
Exp2_XGB_sample_weighted,Train122.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train123.csv,Normal,3,1,0.3333333333333333
Exp2_XGB_sample_weighted,Train124.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train125.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train126.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train127.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train128.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train129.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train13.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train130.csv,Normal,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train131.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train132.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train133.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train134.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train135.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train136.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train137.csv,Side I,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train138.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train139.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train14.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train140.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train141.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train142.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train143.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train144.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train145.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train146.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train147.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train148.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train149.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train15.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train150.csv,Side I,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train151.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train152.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train153.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train154.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train155.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train156.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train157.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train158.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train159.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train16.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train160.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train161.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train162.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train163.csv,Side I,3,3,1.0
Exp2_XGB_sample_weighted,Train164.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train165.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train166.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train167.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train168.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train169.csv,Normal,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train17.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train170.csv,Side I,3,0,0.0
Exp2_XGB_sample_weighted,Train171.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train172.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train173.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train174.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train175.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train176.csv,Normal,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train177.csv,Normal,3,0,0.0
Exp2_XGB_sample_weighted,Train178.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train179.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train18.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train180.csv,Side I,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train181.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train182.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train183.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train184.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train185.csv,Side I,3,0,0.0
Exp2_XGB_sample_weighted,Train186.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train187.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train188.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train189.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train19.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train190.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train191.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train192.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train193.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train194.csv,Side I,3,1,0.3333333333333333
Exp2_XGB_sample_weighted,Train195.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train196.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train197.csv,Normal,3,1,0.3333333333333333
Exp2_XGB_sample_weighted,Train198.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train199.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train2.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train20.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train200.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train201.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train202.csv,Side I,3,0,0.0
Exp2_XGB_sample_weighted,Train203.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train204.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train205.csv,Normal,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train206.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train207.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train208.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train209.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train21.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train210.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train211.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train212.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train213.csv,Side I,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train214.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train215.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train216.csv,Side II,3,0,0.0
Exp2_XGB_sample_weighted,Train217.csv,Side II,3,0,0.0
Exp2_XGB_sample_weighted,Train218.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train219.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train22.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train220.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train221.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train222.csv,Normal,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train223.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train224.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train225.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train226.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train227.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train228.csv,Normal,3,3,1.0
