feature,importance
shock_sideII_power_3500_4000_std,0.0003418961
vib_car8_sideII_power_750_1000_max,0.00034061185
vib_sideII_power_4000_4500_mean,0.00033819154
vib_inv_power_0_250_mean_car_asym_min,0.00032908798
vib_car6_sideII_power_750_1000_max,0.00032832648
vib_inv_total_power_max_car_diff_max,0.00032082055
vib_car5_power_0_250_mean_I_minus_II,0.00031821796
shock_sideI_power_750_1000_max,0.00029934896
vib_sideII_relative_power_3500_4000_mean,0.00029916887
vib_car2_power_500_750_mean_I_div_II,0.00029695465
vib_car4_sideII_spectral_centroid_mean,0.00029445658
shock_sideI_relative_power_500_750_std,0.00029269973
vib_car8_power_500_750_mean_I_div_II,0.0002900157
shock_sideI_relative_power_250_500_max,0.00028867708
vib_car7_sideII_power_250_500_mean,0.00028574886
vib_car1_total_power_max_I_minus_II,0.00028556524
vib_inv_power_250_500_mean_bottom2_cars_ratio_mean,0.00027848582
vib_inv_total_power_mean_car_diff_median,0.0002759362
shock_sideII_power_4000_4500_max,0.0002742244
vib_inv_total_power_mean_car_asym_max,0.00026998727
vib_sideI_power_4000_4500_std,0.00026463528
shock_total_power_max_I_div_II,0.00024414636
shock_sideII_relative_power_250_500_max,0.00024338061
vib_car7_sideI_power_750_1000_max,0.00024299927
vib_car6_power_250_500_mean_I_minus_II,0.00024186025
vib_inv_std_max_car_asym_max,0.0002349244
vib_car3_total_power_max_I_div_II,0.00021867864
vib_car1_sideI_spectral_centroid_max,0.0002093693
vib_sideII_power_500_750_std,0.00020785071
vib_inv_total_power_mean_bottom2_cars_ratio_mean,0.00019899629
vib_inv_total_power_mean_top2_cars_ratio_mean,0.00019678244
shock_sideI_power_250_500_std,0.00019147538
vib_car5_total_power_mean_I_div_II,0.00018949117
vib_car7_sideI_spectral_centroid_max,0.0001871173
vib_car7_sideII_rms_mean,0.00018018336
vib_car7_sideI_spectral_centroid_mean,0.0001790374
vib_car3_sideI_rms_max,0.00017886121
vib_car3_sideI_total_power_mean,0.00017852212
vib_car7_total_power_max_I_div_II,0.0001718745
vib_car2_total_power_mean_I_div_II,0.00017002704
vib_car4_sideI_std_max,0.00016056732
vib_inv_power_250_500_max_car_asym_min,0.00015765402
vib_car3_rms_max_I_div_II,0.00015330467
vib_car2_sideII_power_250_500_max,0.0001525805
vib_sideI_power_2000_2500_mean,0.00015222012
shock_sideII_power_4000_4500_mean,0.00015042056
vib_car4_sideII_rms_max,0.00014986887
vib_car7_power_500_750_mean_I_minus_II,0.00014753525
vib_car1_power_750_1000_mean_I_minus_II,0.00014715799
shock_sideI_relative_power_2000_2500_mean,0.00014546613
vib_car8_sideI_rms_max,0.0001403207
shock_sideI_relative_power_2500_3000_mean,0.00013991653
vib_sideI_kurtosis_mean,0.00013922268
vib_car2_power_750_1000_mean_I_div_II,0.00013850366
vib_inv_std_mean_car_diff_std,0.00013319116
vib_car2_power_500_750_mean_I_minus_II,0.00013256687
shock_sideI_relative_power_4500_5000_std,0.00013031361
vib_car3_power_750_1000_mean_I_div_II,0.00012956747
shock_sideI_std_mean,0.00012897076
vib_sideI_relative_power_500_750_max,0.00012420889
vib_power_500_750_mean_I_div_II,0.000121763915
shock_sideI_power_2500_3000_mean,0.000109856366
vib_sideI_std_std,9.665451e-05
shock_rms_mean_I_div_II,9.617857e-05
vib_car7_power_500_750_mean_I_div_II,9.138152e-05
vib_car3_sideI_std_max,9.096838e-05
vib_car7_sideI_rms_mean,7.941292e-05
vib_car4_sideI_spectral_centroid_mean,7.832903e-05
vib_power_250_500_mean_I_div_II,7.286688e-05
vib_car8_sideII_rms_max,7.048237e-05
shock_sideI_dominant_frequency_std,6.84994e-05
vib_sideI_relative_power_1500_2000_std,6.0108792e-05
